run,timestamp,GPU 0,GPU 1,GPU 2,GPU 3,GPU 4,GPU 5,GPU 6,GPU 7
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755161094.02782,481.026,485.528,524.985,466.628,516.204,507.351,548.357,539.734
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755161424.028157,140.693,129.396,145.185,130.626,145.618,127.498,134.747,134.988
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755161559.0279782,443.618,460.588,503.97,509.057,559.821,559.056,590.487,589.868
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755163089.0278049,351.021,366.439,382.63,355.595,385.417,402.219,351.344,368.052
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755163224.0274456,485.53,488.298,529.953,487.556,509.481,503.954,541.44,515.886
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755163644.0275373,509.621,488.664,501.386,499.849,526.162,498.36,512.822,489.547
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755163854.0274267,482.668,467.06,491.651,504.002,554.644,544.265,589.961,591.093
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755163869.0280948,476.437,469.242,499.175,489.819,546.662,510.229,542.425,469.088
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755164034.0283225,493.733,475.908,517.158,483.065,563.772,470.908,529.563,516.04
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755164049.0282366,504.091,491.431,523.403,499.423,497.615,486.008,490.295,488.839
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755164139.028568,463.813,487.349,494.432,493.057,517.438,514.635,554.706,529.97
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755164319.027987,498.473,505.084,545.052,473.719,545.172,532.298,573.785,548.867
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755164349.0283725,466.728,482.849,526.367,453.498,506.915,512.531,547.504,525.221
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755164559.0278287,520.78,505.444,524.112,524.764,532.909,513.17,534.726,518.169
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755164709.0284135,480.939,518.35,541.39,552.221,530.981,464.865,494.726,456.798
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755164754.0280645,481.867,511.564,556.985,529.357,494.64,503.691,550.074,531.668
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755164934.0277402,464.483,472.897,471.327,484.576,534.922,520.191,563.712,567.712
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755165384.0276434,464.973,470.037,497.112,486.725,514.247,497.426,521.012,488.168
